state,sector,date,value
Johor,nondomestic,01/01/2020,526
Kedah,nondomestic,01/01/2020,193
Kelantan,nondomestic,01/01/2020,75
Melaka,nondomestic,01/01/2020,189
Negeri Sembilan,nondomestic,01/01/2020,222
Pahang,nondomestic,01/01/2020,264
Perak,nondomestic,01/01/2020,266
Perlis,nondomestic,01/01/2020,12
Pulau Pinang,nondomestic,01/01/2020,314
Sabah,nondomestic,01/01/2020,224
Sarawak,nondomestic,01/01/2020,448
Selangor,nondomestic,01/01/2020,1362
Terengganu,nondomestic,01/01/2020,165
Labuan,nondomestic,01/01/2020,40
Kuala Lumpur,nondomestic,01/01/2020,
Putrajaya,nondomestic,01/01/2020,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,